model_key,dilemma_type,display_name,params_B,mean_entailment,n_scored
qwen3_32b,HEINZ_DILEMMA,Qwen3-32B,32,0.9946131507555643,3
qwen3_32b,LIFEBOAT_DILEMMA,Qwen3-32B,32,0.9947458108266195,3
qwen3_32b,PROMISE_DILEMMA,Qwen3-32B,32,0.9606519142786661,3
qwen3_32b,STOLEN_FOOD_DILEMMA,Qwen3-32B,32,0.9862917065620422,3
qwen3_32b,TROLLEY_DILLEMA,Qwen3-32B,32,0.9962320725123087,3
llama3_70B,DOCTOR_DILLEMA,Llama 3.3 70B,70,0.99559086561203,3
llama3_70B,HEINZ_DILEMMA,Llama 3.3 70B,70,0.754714290301005,3
llama3_70B,LIFEBOAT_DILEMMA,Llama 3.3 70B,70,0.9841970602671305,3
llama3_70B,PROMISE_DILEMMA,Llama 3.3 70B,70,0.8224425514539083,3
llama3_70B,STOLEN_FOOD_DILEMMA,Llama 3.3 70B,70,0.9346057375272115,3
llama3_70B,TROLLEY_DILLEMA,Llama 3.3 70B,70,0.9973432223002116,3
qwen3_80b_instruct,DOCTOR_DILLEMA,Qwen3-80B,80,0.986819843451182,3
qwen3_80b_instruct,HEINZ_DILEMMA,Qwen3-80B,80,0.981058140595754,3
qwen3_80b_instruct,LIFEBOAT_DILEMMA,Qwen3-80B,80,0.9778257608413696,3
qwen3_80b_instruct,PROMISE_DILEMMA,Qwen3-80B,80,0.8554178675015768,3
qwen3_80b_instruct,STOLEN_FOOD_DILEMMA,Qwen3-80B,80,0.9959139426549276,3
qwen3_80b_instruct,TROLLEY_DILLEMA,Qwen3-80B,80,0.996770977973938,3
llama4_scout,DOCTOR_DILLEMA,Llama 4 Scout 109B,109,0.9877461791038513,3
llama4_scout,HEINZ_DILEMMA,Llama 4 Scout 109B,109,0.4885246356328328,3
llama4_scout,LIFEBOAT_DILEMMA,Llama 4 Scout 109B,109,0.8426539897918701,3
llama4_scout,PROMISE_DILEMMA,Llama 4 Scout 109B,109,0.5750043789545695,3
llama4_scout,STOLEN_FOOD_DILEMMA,Llama 4 Scout 109B,109,0.8782075047492981,3
llama4_scout,TROLLEY_DILLEMA,Llama 4 Scout 109B,109,0.9980647762616476,3
gpt-oss-120B,DOCTOR_DILLEMA,GPT-OSS 120B,120,0.8998368581136068,3
gpt-oss-120B,HEINZ_DILEMMA,GPT-OSS 120B,120,0.8176451027393341,3
gpt-oss-120B,LIFEBOAT_DILEMMA,GPT-OSS 120B,120,0.8220382332801819,3
gpt-oss-120B,PROMISE_DILEMMA,GPT-OSS 120B,120,0.9974125623703003,3
gpt-oss-120B,STOLEN_FOOD_DILEMMA,GPT-OSS 120B,120,0.9463863174120585,3
gpt-oss-120B,TROLLEY_DILLEMA,GPT-OSS 120B,120,0.9977999726931254,3
claude_sonnet_4_5,DOCTOR_DILLEMA,Claude Sonnet 4.5,175,0.9884128371874491,3
claude_sonnet_4_5,HEINZ_DILEMMA,Claude Sonnet 4.5,175,0.8705777327219645,3
claude_sonnet_4_5,LIFEBOAT_DILEMMA,Claude Sonnet 4.5,175,0.9863959749539694,3
claude_sonnet_4_5,PROMISE_DILEMMA,Claude Sonnet 4.5,175,0.7536497116088867,3
claude_sonnet_4_5,STOLEN_FOOD_DILEMMA,Claude Sonnet 4.5,175,0.5089951952298483,3
claude_sonnet_4_5,TROLLEY_DILLEMA,Claude Sonnet 4.5,175,0.9906593561172485,3
gpt-4o,DOCTOR_DILLEMA,GPT-4o,200,0.9938634236653646,3
gpt-4o,HEINZ_DILEMMA,GPT-4o,200,0.9623937010765076,3
gpt-4o,LIFEBOAT_DILEMMA,GPT-4o,200,0.9157848159472147,3
gpt-4o,PROMISE_DILEMMA,GPT-4o,200,0.6611949106057485,3
gpt-4o,STOLEN_FOOD_DILEMMA,GPT-4o,200,0.9194055000940958,3
gpt-4o,TROLLEY_DILLEMA,GPT-4o,200,0.9983436862627665,3
qwen3_235b_thinking,DOCTOR_DILLEMA,Qwen3-235B (Think),235,0.9936596949895223,3
qwen3_235b_thinking,HEINZ_DILEMMA,Qwen3-235B (Think),235,0.9932391047477722,3
qwen3_235b_thinking,LIFEBOAT_DILEMMA,Qwen3-235B (Think),235,0.7985564470291138,3
qwen3_235b_thinking,PROMISE_DILEMMA,Qwen3-235B (Think),235,0.9949928522109985,3
qwen3_235b_thinking,STOLEN_FOOD_DILEMMA,Qwen3-235B (Think),235,0.9920670787493387,3
qwen3_235b_thinking,TROLLEY_DILLEMA,Qwen3-235B (Think),235,0.9859757423400879,3
deepseek_r1,DOCTOR_DILLEMA,DeepSeek-R1 671B,671,0.9855872790018717,3
deepseek_v3_1,DOCTOR_DILLEMA,DeepSeek-V3.1 671B,671,0.9876554807027181,3
deepseek_r1,HEINZ_DILEMMA,DeepSeek-R1 671B,671,0.1986098655809958,3
deepseek_v3_1,HEINZ_DILEMMA,DeepSeek-V3.1 671B,671,0.8687765200932821,3
deepseek_r1,LIFEBOAT_DILEMMA,DeepSeek-R1 671B,671,0.9789217710494995,3
deepseek_v3_1,LIFEBOAT_DILEMMA,DeepSeek-V3.1 671B,671,0.9934264620145162,3
deepseek_r1,PROMISE_DILEMMA,DeepSeek-R1 671B,671,0.9501652717590332,3
deepseek_v3_1,PROMISE_DILEMMA,DeepSeek-V3.1 671B,671,0.9962683121363322,3
deepseek_r1,STOLEN_FOOD_DILEMMA,DeepSeek-R1 671B,671,0.8231343030929565,3
deepseek_v3_1,STOLEN_FOOD_DILEMMA,DeepSeek-V3.1 671B,671,0.8718733588854471,3
deepseek_r1,TROLLEY_DILLEMA,DeepSeek-R1 671B,671,0.997517983118693,3
deepseek_v3_1,TROLLEY_DILLEMA,DeepSeek-V3.1 671B,671,0.9568254748980204,3
