model_key,display_name,params_B,log_params,provider,stage,count,n_total,proportion
llama3_70B,Llama 3.3 70B,70,1.845098040014257,Meta,6,4,18,0.2222222222222222
qwen3_80b_instruct,Qwen3-80B,80,1.9030899869919435,Alibaba,1,0,18,0.0
qwen3_80b_instruct,Qwen3-80B,80,1.9030899869919435,Alibaba,2,0,18,0.0
qwen3_80b_instruct,Qwen3-80B,80,1.9030899869919435,Alibaba,3,0,18,0.0
qwen3_80b_instruct,Qwen3-80B,80,1.9030899869919435,Alibaba,4,0,18,0.0
qwen3_80b_instruct,Qwen3-80B,80,1.9030899869919435,Alibaba,5,6,18,0.3333333333333333
qwen3_80b_instruct,Qwen3-80B,80,1.9030899869919435,Alibaba,6,12,18,0.6666666666666666
llama4_scout,Llama 4 Scout 109B,109,2.037426497940624,Meta,1,0,18,0.0
llama4_scout,Llama 4 Scout 109B,109,2.037426497940624,Meta,2,0,18,0.0
llama4_scout,Llama 4 Scout 109B,109,2.037426497940624,Meta,3,0,18,0.0
llama4_scout,Llama 4 Scout 109B,109,2.037426497940624,Meta,4,2,18,0.1111111111111111
llama4_scout,Llama 4 Scout 109B,109,2.037426497940624,Meta,5,10,18,0.5555555555555556
llama4_scout,Llama 4 Scout 109B,109,2.037426497940624,Meta,6,6,18,0.3333333333333333
gpt-oss-120B,GPT-OSS 120B,120,2.0791812460476247,OpenAI,1,0,18,0.0
gpt-oss-120B,GPT-OSS 120B,120,2.0791812460476247,OpenAI,2,0,18,0.0
gpt-oss-120B,GPT-OSS 120B,120,2.0791812460476247,OpenAI,3,0,18,0.0
gpt-oss-120B,GPT-OSS 120B,120,2.0791812460476247,OpenAI,4,0,18,0.0
gpt-oss-120B,GPT-OSS 120B,120,2.0791812460476247,OpenAI,5,13,18,0.7222222222222222
gpt-oss-120B,GPT-OSS 120B,120,2.0791812460476247,OpenAI,6,5,18,0.2777777777777778
claude_sonnet_4_5,Claude Sonnet 4.5,175,2.2430380486862944,Anthropic,1,0,18,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,2.2430380486862944,Anthropic,2,0,18,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,2.2430380486862944,Anthropic,3,0,18,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,2.2430380486862944,Anthropic,4,0,18,0.0
claude_sonnet_4_5,Claude Sonnet 4.5,175,2.2430380486862944,Anthropic,5,8,18,0.4444444444444444
claude_sonnet_4_5,Claude Sonnet 4.5,175,2.2430380486862944,Anthropic,6,10,18,0.5555555555555556
gpt-4o,GPT-4o,200,2.3010299956639813,OpenAI,1,0,18,0.0
gpt-4o,GPT-4o,200,2.3010299956639813,OpenAI,2,0,18,0.0
gpt-4o,GPT-4o,200,2.3010299956639813,OpenAI,3,0,18,0.0
gpt-4o,GPT-4o,200,2.3010299956639813,OpenAI,4,2,18,0.1111111111111111
gpt-4o,GPT-4o,200,2.3010299956639813,OpenAI,5,10,18,0.5555555555555556
gpt-4o,GPT-4o,200,2.3010299956639813,OpenAI,6,6,18,0.3333333333333333
qwen3_235b_thinking,Qwen3-235B (Think),235,2.3710678622717363,Alibaba,1,0,18,0.0
qwen3_235b_thinking,Qwen3-235B (Think),235,2.3710678622717363,Alibaba,2,0,18,0.0
qwen3_235b_thinking,Qwen3-235B (Think),235,2.3710678622717363,Alibaba,3,0,18,0.0
qwen3_235b_thinking,Qwen3-235B (Think),235,2.3710678622717363,Alibaba,4,0,18,0.0
qwen3_235b_thinking,Qwen3-235B (Think),235,2.3710678622717363,Alibaba,5,0,18,0.0
qwen3_235b_thinking,Qwen3-235B (Think),235,2.3710678622717363,Alibaba,6,18,18,1.0
deepseek_r1,DeepSeek-R1 671B,671,2.826722520168992,DeepSeek,1,0,18,0.0
deepseek_r1,DeepSeek-R1 671B,671,2.826722520168992,DeepSeek,2,0,18,0.0
deepseek_r1,DeepSeek-R1 671B,671,2.826722520168992,DeepSeek,3,0,18,0.0
deepseek_r1,DeepSeek-R1 671B,671,2.826722520168992,DeepSeek,4,0,18,0.0
deepseek_r1,DeepSeek-R1 671B,671,2.826722520168992,DeepSeek,5,12,18,0.6666666666666666
deepseek_r1,DeepSeek-R1 671B,671,2.826722520168992,DeepSeek,6,6,18,0.3333333333333333
deepseek_v3_1,DeepSeek-V3.1 671B,671,2.826722520168992,DeepSeek,1,0,18,0.0
deepseek_v3_1,DeepSeek-V3.1 671B,671,2.826722520168992,DeepSeek,2,0,18,0.0
deepseek_v3_1,DeepSeek-V3.1 671B,671,2.826722520168992,DeepSeek,3,0,18,0.0
deepseek_v3_1,DeepSeek-V3.1 671B,671,2.826722520168992,DeepSeek,4,0,18,0.0
deepseek_v3_1,DeepSeek-V3.1 671B,671,2.826722520168992,DeepSeek,5,9,18,0.5
deepseek_v3_1,DeepSeek-V3.1 671B,671,2.826722520168992,DeepSeek,6,9,18,0.5
